#separator:tab
#html:true
{{c1::Die Geldmenge}} ist {{c2::die Menge an Geld in einer Volkswirtschaft}}.	
"<p>{{c1::Die Geldmenge}} besteht aus:</p>
<ul>
<li>{{c2::M1: Bargeld und Sichteinlagen}}</li>
<li>{{c2::M2: M1 + Einlagen mit einer Laufzeit von bis zu 2 Jahren oder mit einer gesetzlicher Kündigungsfrist von bis zu 3 Monaten}}</li>
<li>{{c2::M3: M2 + Bankschuldverschreibungen, Geldmarktfondanteile, Geldmarktpapiere und Repogeschäfte mit einer Laufzeit von bis zu 2 Jahren}}</li>
</ul>"	
"Meist verkaufen&nbsp;Anbieter&nbsp;in {{c1::einer vollständiger Konkurrenz}} ohne&nbsp;Gewinn&nbsp;im&nbsp;Marktgleichgewicht.<br />
{{c1::<img src=""2021-Bild-Sieg-Gewinnmaximierung_bei_vollstaendiger_Konkurrenz.png"" alt=""""><br />
Gewinnmaximierung in einer vollständigen Konkurrenz}}"	
"<p>{{c1::Einflussfaktoren der Nachfrage}} sind:</p>
<ul>
<li>{{c2::Änderung des Einkommens der Konsumenten}}</li>
<li>{{c2::Änderung von verwandten Gütern}}</li>
<li>{{c2::demografischer Wandel}}</li>
<li>{{c2::Erwartung der Kunden}}</li>
<li>{{c2::Präferenz der Konsumenten}}</li>
<li>{{c2::Werbung}}</li>
</ul>"	
"<p>{{c1::Einflussfaktoren des Angebots}} sind:</p>
<ul>
<li>{{c2::Änderung von Produktionsfaktoren}}</li>
<li>{{c2::Anzahl der Anbieter}}</li>
<li>{{c2::Erwartung der Anbieter}}</li>
<li>{{c2::gesellschaftliche Faktoren}}</li>
<li>{{c2::Rentabilität}}</li>
<li>{{c2::Technologie}}</li>
</ul>"	
{{c1::Die Hochlohnarbeitslosigkeit}} ist {{c2::die Arbeitslosigkeit}} auf Grund von {{c2::Lohn, der über den Gleichgewichtslohn liegt}} und dadurch {{c3::ein Nachfrageüberschuss an Arbeitskräften erzeugt}}.	
{{c1::Die Sucharbeitslosigkeit}} ist {{c2::die Arbeitslosigkeit}} auf Grund von {{c2::derzeitiger Arbeitsplatzsuche}}.	
{{c1::Die strukturelle Arbeitslosigkeit}} ist {{c2::die Arbeitslosigkeit}} auf Grund von {{c2::einem Ungleichgewicht zwischen Arbeitsplätzen und Nachfrage}} durch {{c3::unterschiedliche branchenspezifischen, qualifikationsbedingten und/oder regionalen Gründen}}.	
"{{c1::Der Gewinn in einem Monopol}} wird {{c2::durch die Differenz zwischen Preis und den durchschnittlichen Gesamtkosten multipliziert mit der verkauften Menge}} berechnet.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Gewinn.png"" alt=""""><br />
Gewinn eines Monopolisten}}}}"	
{{c1::Ein abnehmendes Grenzprodukt}} ist ein Grenzprodukt, bei welchem {{c2::mit steigendem Einsatz von Produktionsfaktoren}} {{c4::das Grenzprodukt sinkt}}, was bei den meisten Produktionsfunktionen der Fall ist, da {{c3::diese nicht unendlich skalierbar sind}}.	
"Beispiel:<br />
Gründe der Konjunktur"	"<ul>
<li>Arbeitslose benötigen Zeit für die Suche nach neun Arbeitsplätzen</li>
<li>Investitionen wirken nicht direkt</li>
<li>Lagerbestände werden nicht direkt aufgelöst</li>
<li>Lohnänderungen und Preisänderungen benötigen Anpassungszeit</li>
</ul>"
{{c1::Ein Marktversagen}}, welches durch {{c2::Externalitäten}} erzeugt wird, kann durch {{c3::Regulierungen, Steuern und Subventionierung}} behoben werden.	
"{{c1::Das Gesetz des Angebotes}} ist ein Gesetz über das Angebot, welches besagt, dass {{c2::die Angebotsmenge und der Preis eine positive Korrelation besitzen}}:<br />
{{c2::Mit steigendem Preis steigt die Angebotsmenge}}."	
"{{c1::Das Gesetz der Nachfrage}} ist ein Gesetz über die Nachfrage, welches besagt, dass {{c2::die Nachfragemenge und der Preis eine negative Korrelation besitzen}}:<br />
{{c2::Mit steigendem Preis sinkt die Nachfragemenge}}."	
"{{c1::Gesamteinnahmen und Gesamtausgaben}} sind die Einnahmen und Ausnahmen in einem Markt, berechnet durch {{c2::die gesamte gekaufte Menge an Gütern multipliziert mit dem Güterpreis}}:<br />
{{c1::\(\text{Gesamteinnahmen und Gesamtausgaben}\)}} \(=\) {{c2::\(\text{Menge an Gütern} \cdot \text{Güterpreis}\)}}"	
"Frage:<br />
Was ist die Bogenelastizität?"	Die Bogenelastizität beschreibt, wie sich die Nachfrage bei einer prozentualen Preisänderung verändert.
{{c1::Die Bogenelastizität}} ist {{c2::die Veränderung der Nachfrage bei einer prozentualen Preisänderung}}.	
{{c1::\(\text{Preiselastizität}\)}} \(=\) {{c2::\(\frac{\text{Prozentuale Mengenänderung} }{\text{Prozentuale Preisänderung} }\)}}	
{{c1::\(\eta_{2}\)}} \(=\) {{c2::\(\frac{p_{2} - p_{1} }{p_{1} } \cdot \eta_{1} \cdot x_{1}\)}} mit {{c1::\(\eta\) als Preiselastizität}}, {{c2::\(p\) als Preis, \(x\) als Menge}}	
{{c1::Der Gewinn}} ist {{c3::maximal}}, wenn {{c2::der Grenzumsatz den Grenzkosten}} entspricht.	
Ein Marktgleichgewicht in {{c1::einer vollständigen Konkurrenz}} entspricht {{c2::einer effizienten Allokation von Ressourcen}}, da {{c3::das Gleichgewicht Pareto-optimal ist}}.	
{{c1::Eine Preisänderung}} führt zu {{c2::einer Bewegung}} auf der Angebotsfunktion, während {{c1::die Beeinflussung der Einflussfaktoren des Angebots}} zu {{c2::einer Verschiebung}} der Angebotsfunktion führt.	
{{c1::Eine Preisänderung}} führt zu {{c2::einer Bewegung}} auf der Nachfragefunktion, während {{c1::die Beeinflussung der Einflussfaktoren der Nachfrage}} zu {{c2::einer Verschiebung}} der Nachfragefunktion führt.	
{{c1::Eine Arbeitslosenversicherung}} kann {{c2::die Arbeitslosigkeit}} erhöhen, wenn {{c3::das Arbeitslosengeld nahe dem Lohn}} liegt, da {{c3::nur ein geringer Anreiz besteht, die Beschäftigung aufzunehmen}},	
"{{c1::Mindestlohn}} führt {{c2::kurzfristig}} zu einer Erhöhung {{c3::des ausgezahlten Lohns}} an bestehenden Arbeitskräften.<br />
{{c2::Langfristig}} erhöht sich {{c3::die Arbeitslosigkeit}}, da {{c3::für bestehende Arbeitskräfte mehr Lohn gezahlt werden muss}}."	
{{c1::Das reale Pro-Kopf-BIP}} ist der reale BIP pro Bürger und gibt {{c2::die ökonomische Wohlfahrt einer Volkswirtschaft}} an.	
"{{c1::Die langfristige Gewinnmaximierung in monopolistischen Konkurrenzen}} führt zu {{c2::Preisen}}, die {{c2::über}} {{c3::den Grenzkosten}}, wie in {{c3::einem Monopol}}, aber {{c2::gleich}} {{c3::den durchschnittlichen Gesamtkosten,}} wie in {{c3::einem Polypol}} sind.<br />
{{c1::{{c2::{{c3::<img src=""2021-Bild-Sieg-Monopolistische_Konkurrenz_langfristig.png"" alt=""""><br />
Monopolistische Konkurrenz auf langfristige Sicht}}}}}}"	
"{{c1::Monopolistische Konkurrenzen}} produzieren langfristig {{c2::in Überkapazität}} und {{c2::nehmen einen Preisaufschlag}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopolistische_Konkurrenz_langfristig.png"" alt=""""><br />
Monopolistische Konkurrenz auf langfristige Sicht}}}}"	
"{{c2::Die kurzfristige Gewinnmaximierung in monopolistischen Konkurrenzen}} ist gleich zu {{c1::der Gewinnmaximierung in Monopolen}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopolistische_Konkurrenz_Gewinn.png"" alt=""""><br />
Unternehmen mit Gewinn in einer monopolistischen Konkurrenz auf kurzfristige Sicht}}}}"	
"Der&nbsp;Grenzumsatz&nbsp;eines&nbsp;Monopols&nbsp;ist immer {{c1::geringer als der&nbsp;Preis}}, da {{c2::die&nbsp;Nachfrage&nbsp;mit Erhöhung des Preises sinkt}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Grenzerloes_und_Nachfrage.png"" alt=""""><br />
Grenzerlös und Nachfrage}}}}"	
"{{c1::Der Grenzumsatz}} sinkt in Monopolen dabei {{c2::doppelt so stark}} wie {{c1::die Nachfrage}}, so dass das Monopol Verlust mit dem Verkauf machen kann.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopol_Grenzerloes_und_Nachfrage.png"" alt=""""><br />
Grenzerlös und Nachfrage}}}}"	
"Ein Monopol maximiert seinen Gewinn, wenn {{c1::es die Menge produziert, bei dem die Grenzkosten und der Grenzumsatz gleich sind}}.<br />
{{c1::<img src=""2021-Bild-Sieg-Monopol_Gewinnmaximierung.png"" alt=""""><br />
Gewinnmaximierung eines Monopolisten}}"	
"{{c1::Die Überkapazität}} ist {{c2::ein Zustand in einer Produktion}}, in welchem {{c2::weniger als die ökonomische Effizienz produziert wird}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopolistische_Konkurrenz_Aufschlag_und_Ueberkapaziaet.png"" alt=""""><br />
Preisaufschlag und Überkapazität}}}}"	
"{{c1::Ein Preisaufschlag}} ist {{c2::ein Aufschlag auf einen Preis}}, welcher {{c2::deutlich höher ist als die Grenzkosten}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Monopolistische_Konkurrenz_Aufschlag_und_Ueberkapaziaet.png"" alt=""""><br />
Preisaufschlag und Überkapazität}}}}"	
{{c1::Ein Preisfixierer}} ist ein Unternehmen, welches {{c2::den Preis des Gutes vorgeben kann}}.	
{{c1::Die Budgetgerade}} ist {{c2::die grafische Darstellung des Budget}}.	
Bei {{c1::einer positiven Einkommensveränderungen}} verschiebt sich {{c2::die Budgetgerade nach außen}}, sodass {{c2::mehr konsumiert werden kann}}.	
{{c1::Eine ökonomische Effizienz (volkswirtschaftliche Effizienz)}} ist {{c2::ein optimales Marktergebnis}} mit {{c2::Maximierung der Gesamtrente}}.	
{{c1::Die Allokationseffizienz}} ist {{c2::die Effizienz der Güterverteilung}} für {{c2::Konsumenten und Produzenten}} und ein Maß für {{c2::die Wohlfahrt}}.	
{{c1::Die Gesamtrente}} ist {{c2::die Kombination von Konsumentenrente und Produzentenrente}} und beschreibt {{c2::ein Maß für die Wohlfahrt}}.	
{{c1::\(\text{Gesamtrente}\)}} \(=\) {{c2::\(\text{Konsumentenrente} + \text{Produzentenrente} = \text{Zahlungsbereitschaft} - \text{Produktionskosten}\)}}	
{{c1::Die Verkaufsbereitschaft}} ist {{c2::der Minimumbetrag}}, für den {{c2::ein Produzent bereit ist, ein Gut zu verkaufen}}.	
"{{c1::Der Einkommenseffekt}} ist {{c2::die Veränderung der Konsummenge}} durch {{c2::die Verschiebung der Ausgaben auf der Indifferenzkurve}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Substitutions-_und_Einkommenseffekt.png"" alt=""""><br />
Substitutions- und Einkommenseffekt}}}}"	
"{{c1::Der Substitutionseffekt}} ist {{c2::die Veränderung der Konsummenge}} bei {{c3::einer Preisänderung}} durch die {{c4::Verschiebung des Substitutionsverhältnis auf der Indifferenzkurve}}.<br />
{{c1::{{c2::{{c3::{{c4::<img src=""2021-Bild-Sieg-Substitutions-_und_Einkommenseffekt.png"" alt=""""><br />
Substitutions- und Einkommenseffekt}}}}}}}}"	
{{c1::Das Budget}} ist {{c2::der Geldbetrag}}, den {{c2::ein Konsument für den Konsum zur Verfügung steht}}.	
"wahr oder falsch:<br />
Weil Indifferenzkurven konkav sind, können sich nie zwei Indifferenzkurven eines Investors schneiden."	"falsch:<br />
Es stimmt zwar, dass sich Indifferenzkurven eines Investors nicht schneiden können. Dies liegt aber nicht daran, dass sie konkav sind."
"{{c1::Eine Indifferenzkurve}} ist die grafische Darstellung {{c2::der Kombinationen}}, die {{c2::den gleichen Nutzen für den Konsum von mehreren Gütern}} für {{c2::einen Konsumenten}} angibt.<br />
{{c1::{{c2::<img src=""2021-Bild-Sieg-Indifferenzkurve.png"" alt=""""><br />
Indifferenzkurve und Grenzrate der Substitution}}}}"	
{{c1::Die Steigung der Indifferenzkurve}} entsprich der Grenzrate der Substitution.	
Eine {{c1::höher}} liegende Indifferenzkurve wird bevorzugt, da {{c2::diese ein höheren Nutzen besitzt}}.	
{{c1::Der Grenzumsatz (Grenzerlös)}} ist {{c2::die Veränderung des Umsatz durch den Verkauf einer zusätzlichen Einheit}}.	
{{c1::Der Durchschnittsumsatz (Durchschnittserlös)}} ist {{c2::der durchschnittliche Umsatz pro verkaufte Einheit}}.	
{{c1::Die zyklische Arbeitslosigkeit}} ist {{c2::die kurzfristige Schwankungen der Arbeitslosigkeit durch die Konjunktur}}.	
{{c1::Die Vollbeschäftigung}} ist ein Zustand, in dem {{c2::die Arbeitslosenquote der natürlichen Arbeitslosenquote entspricht}}.	
{{c1::Die natürliche Arbeitslosenquote}} ist {{c2::der langfristig nicht abbaubare Teil der Arbeitslosigkeit}}.	
{{c1::Ein Wertpapierpensionsgeschäft}} ist {{c2::ein geldpolitisches Instrument, bei dem Geschäftsbanken sich Geld von der Zentralbank leihen und dafür Wertpapiere als Sicherheit hinterlegen}}.	
{{c1::Der reale Zinssatz}} ist {{c2::der von der Inflation bereinigte Zinssatz}}.	
{{c1::\(\text{realer Zins}\)}} \(=\) {{c2::\(\text{nominaler Zins} - \text{Inflation}\)}}	
Kosten bei Verbleib im aktuellen System	\(\text{konstanter Netzwerkpreis} + \frac{\text{konstanter Netzwerkpreis} }{\text{Zinssatz} }\)
Kosten nach Systemwechsel	\(\text{konstanter Netzwerkpreis} - \text{Wechselrabatt} + \text{Wechselkosten} + \frac{\text{konstanter Netzwerkpreis} }{\text{Zinssatz} }\)
{{c1::Ein Systemwechsel}} ist wirtschaftlich, wenn {{c2::die Kosten nach dem Systemwechsel kleiner sind als die Kosten beim Verbleib im aktuellen System}}.	
{{c1::Der Gegenwartswert}} ist {{c2::der Wert einer zukünftigen Zahlung}}.	
